,,,,,,
Log Time Stamp,FT108,FT109,LT108,PT115a,PT115b,Pump Speed/%
09-04-2023 10:54:42,36.8733749389648,49.9021224975586,78.5755767822266,0.845031261444092,1.31997501850128,5
09-04-2023 10:54:45,62.3394088745117,92.4482498168945,78.4914627075195,0.84507143497467,1.35648047924042,5
09-04-2023 10:54:48,74.2834930419922,97.5609130859375,78.3817520141602,0.84509688615799,1.37088918685913,5
09-04-2023 10:54:51,76.8121109008789,98.6069793701172,78.2434234619141,0.845105111598969,1.37535679340363,5
09-04-2023 10:54:54,77.3451538085938,99.1665878295898,78.1184692382813,0.845124661922455,1.37693083286285,5
09-04-2023 10:54:57,76.7666549682617,99.4155807495117,78.0275039672852,0.845118343830109,1.37741339206696,5
09-04-2023 10:55:00,76.9423751831055,98.8803939819336,77.9295425415039,0.845086634159088,1.37716662883759,5
09-04-2023 10:55:03,76.7325592041016,99.3010177612305,77.8237457275391,0.845069766044617,1.37698066234589,5
09-04-2023 10:55:06,76.568244934082,99.2109451293945,77.71826171875,0.845053791999817,1.37695622444153,5
09-04-2023 10:55:09,76.7685546875,98.9297103881836,77.608268737793,0.845024466514587,1.37680447101593,5
09-04-2023 10:55:12,76.5243606567383,99.2677230834961,77.5016708374023,0.845034062862396,1.37713956832886,5
09-04-2023 10:55:15,76.7067642211914,99.6964950561523,77.366340637207,0.845045328140259,1.37724721431732,5
09-04-2023 10:55:18,76.6300888061523,100.037841796875,77.2304382324219,0.845062375068665,1.3770751953125,5
09-04-2023 10:55:21,76.5161209106445,99.4155807495117,77.1288452148438,0.845069527626038,1.37708413600922,5
09-04-2023 10:55:24,76.9179534912109,98.966667175293,77.0198669433594,0.845065176486969,1.37692975997925,5
09-04-2023 10:55:27,76.4111709594727,98.8540496826172,76.9129333496094,0.845082938671112,1.37682271003723,5
09-04-2023 10:55:30,75.8947830200195,98.8540496826172,76.8153762817383,0.845077097415924,1.3766622543335,5
09-04-2023 10:55:33,75.9557113647461,98.8540496826172,76.7143173217773,0.845087945461273,1.37631893157959,5
09-04-2023 10:55:36,76.4000244140625,99.1255416870117,76.6081314086914,0.845080375671387,1.37609708309174,5
09-04-2023 10:55:39,76.9294815063477,99.1467208862305,76.5005722045898,0.845070779323578,1.37629175186157,5
09-04-2023 10:55:42,76.9699935913086,98.8540496826172,76.3648452758789,0.845094799995422,1.37654304504395,5
09-04-2023 10:55:45,77.1267318725586,98.8540496826172,76.2297439575195,0.845088720321655,1.37654268741608,5
09-04-2023 10:55:48,77.0010147094727,98.8540496826172,76.1305618286133,0.845060706138611,1.37647986412048,5
09-04-2023 10:55:51,77.0317611694336,99.1160736083984,76.0314102172852,0.845049202442169,1.37629318237305,5
09-04-2023 10:55:54,76.7875518798828,99.1200637817383,75.9207077026367,0.84504908323288,1.37626135349274,5
09-04-2023 10:55:57,76.4144821166992,99.1783142089844,75.8054580688477,0.845062494277954,1.37612855434418,5
09-04-2023 10:56:00,76.9669647216797,99.0926666259766,75.6961059570313,0.845062732696533,1.37576794624329,5
09-04-2023 10:56:03,76.8695678710938,98.8540496826172,75.586296081543,0.845083057880402,1.37573051452637,5
09-04-2023 10:56:06,77.2358627319336,98.8540496826172,75.4422073364258,0.845091164112091,1.37593388557434,5
09-04-2023 10:56:09,77.3794937133789,98.5317535400391,75.3085021972656,0.845079898834229,1.37601459026337,5
09-04-2023 10:56:12,77.0039672851563,98.6146011352539,75.2036972045898,0.845086514949799,1.37613439559937,5
09-04-2023 10:56:15,77.2114944458008,99.0148468017578,75.0971832275391,0.845078468322754,1.37603735923767,5
09-04-2023 10:56:18,77.2430572509766,99.2953338623047,74.9907989501953,0.845097899436951,1.37576699256897,5
09-04-2023 10:56:21,76.5697402954102,99.4155807495117,74.880989074707,0.8450927734375,1.37581706047058,5
09-04-2023 10:56:24,76.3350448608398,99.4155807495117,74.7687377929688,0.845089554786682,1.37572741508484,5
09-04-2023 10:56:27,76.9163208007813,99.4155807495117,74.6610488891602,0.845135092735291,1.37546002864838,5
09-04-2023 10:56:30,76.5493621826172,99.0934677124023,74.5575790405273,0.845168650150299,1.37553119659424,5
09-04-2023 10:56:33,76.4318313598633,98.8540496826172,74.4514312744141,0.845196783542633,1.375408411026,5
09-04-2023 10:56:36,77.361701965332,98.8540496826172,74.3415679931641,0.845199108123779,1.37542724609375,5
09-04-2023 10:56:39,76.9660186767578,98.8540496826172,74.2312927246094,0.845217049121857,1.37557256221771,5
09-04-2023 10:56:42,77.3831558227539,98.8540496826172,74.1205978393555,0.845251321792603,1.37563610076904,5
09-04-2023 10:56:45,77.6545715332031,98.8540496826172,74.0122756958008,0.845258414745331,1.37555181980133,5
09-04-2023 10:56:48,77.2331390380859,98.8540496826172,73.9048690795898,0.84521746635437,1.3753776550293,10
09-04-2023 10:56:51,101.995086669922,143.051864624023,73.732536315918,0.845153272151947,1.44156861305237,10
09-04-2023 10:56:54,143.366424560547,183.148681640625,73.514762878418,0.845130801200867,1.52573037147522,10
09-04-2023 10:56:57,163.875091552734,188.653961181641,73.2719802856445,0.845154583454132,1.56058955192566,10
09-04-2023 10:57:00,167.492218017578,190.272308349609,73.0387115478516,0.845217406749725,1.57079493999481,10
09-04-2023 10:57:03,168.244476318359,190.984252929688,72.8207321166992,0.845268130302429,1.57414758205414,10
09-04-2023 10:57:06,169.572387695313,191.363998413086,72.5787353515625,0.845283329486847,1.57504284381866,10
09-04-2023 10:57:09,170.508224487305,191.5556640625,72.3458480834961,0.84528774023056,1.57471990585327,10
